naziv,stanje,cena
Lezaj 619/2  ZZ,20,
Lezaj kugl. 2201 2RS,2,
Lezaj kugl. 2202 2RS,2,
Lezaj kugl. 2203 2RS,2,
Lezaj kugl. 2204 2RS,2,
Lezaj kugl. 2205 2RS,2,
Lezaj kugl. 2209 2RS,2,
Lezaj kugl. 3210 2RS,2,
Lezaj kugl. 6016 2RS,2,
Lezaj kugl. 6018 2RS,2,
Lezaj 6300 ZZ    ,25,
Lezaj  UCP 204,2,
Lezaj UCP 205  FHY,2,
Lezaj UCP 206,2,
Lezaj UCP 209,2,
UCF 204 : WBF,17,
Lezaj UCF 206,2,
Lezaj UCF 209,2,
Lezaj UCFL 204 wbf,3,
Lezaj UCFL 205,4,
Lezaj SL 11.,1,
Lezaj SL 13.,3,
Lezaj valjk.NU 2206 E,1,
Lezaj igl. NK 10/12 -,3,
Lezaj 108 TVH FAG,10,1080
Lezaj 127 TVH FAG,7,1090
Lezaj 129 TVH FAG,30,1150
Lezaj 1200 TVH FAG,25,1160
Lezaj 1201         ,2,
Lezaj 1201 TVH FAG,16,1240
Lezaj 1202 gpz        ,2,
Lezaj 1202 -         ,1,330
Lezaj 1202 TVH FAG,22,1290
Lezaj 1203         ,2,
Lezaj 1203 TVH FAG,17,1290
Lezaj 1204     ,4,
Lezaj 1204 TVH FAG,17,1290
Lezaj 1204 K wbf,2,260
Lezaj 1205         ,4,
Lezaj 1205 TVH FAG,18,1330
Lezaj 1205 TVH C3 FAG,4,1330
Lezaj 1205 KTVH FAG,3,1330
Lezaj 1206         ,2,560
Lezaj 1206 TVH FAG,19,1440
Lezaj 1206 K urb      ,5,545
Lezaj 1207         ,2,
Lezaj 1207 TVH FAG,18,1762
Lezaj 1207 KTVHC3 FAG,8,1762
Lezaj 1208         ,2,350
Lezaj 1208 TVH FAG,30,2070
Lezaj 1208 K     ,1,910
Lezaj 1208 KTVH C3 FAG,12,2070
Lezaj 1209 gpz        ,6,900
Lezaj 1209 wbf        ,18,420
Lezaj 1209 TVH FAG,14,2250
Lezaj 1209 KTVH FAG,3,2250
Lezaj 1210 gpz         ,2,945
Lezaj 1210 TVH FAG,24,2600
Lezaj 1210 KTVH FAG,1,2600
Lezaj 1211 TVH FAG,12,3220
Lezaj 1212 TVH FAG,10,3800
Lezaj 1213 -        ,28,1221
Lezaj 1213 TVH FAG,10,4660
Lezaj 1213 K gpz      ,3,1445
Lezaj 1214 gpz       ,20,1014
Lezaj 1214 urb         ,1,1478
Lezaj 1214 TVH FAG,4,5200
Lezaj 1214 C gpz,4,1014
Lezaj 1214 K gpz      ,1,1277
Lezaj 1215 TVH FAG,5,5910
Lezaj 1215 ,1,2554
Lezaj 1215 K -     ,11,1702
Lezaj 1215 KTVH C3 FAG,4,5910
Lezaj 1216 TVH FAG,6,6980
Lezaj 1216 K -,9,1994
Lezaj 1217 TVH FAG,2,8740
Lezaj 1218 gpz        ,3,2980
Lezaj 1218 TVH FAG,2,10350
Lezaj 1218 K gpz       ,1,3093
Lezaj 1218 K -,3,3093
Lezaj 1218 KH gpz     ,1,3893
Lezaj 1219 K gpz       ,3,2724
Lezaj 1221         ,2,3863
Lezaj 1222 zkl        ,2,4473
Lezaj 1222 K gpz,2,4473
Lezaj 1222 KH +      ,3,7206
Lezaj 1224 gpz        ,3,9798
Lezaj 1224 K gpz      ,1,9580
Lezaj 1300 gpz        ,23,236
Lezaj 1301 gpz         ,10,242
Lezaj 1301 TVH fag   ,8,2190
Lezaj 1302 gpz,1,358
Lezaj 1302 TVH FAG,13,1500
Lezaj 1303         ,2,
Lezaj 1303 tkf   ,1,386
Lezaj 1303 TVH FAG    ,3,1630
Lezaj 1304 ,3,
Lezaj 1304 TVH FAG  ,2,1600
Lezaj 1305 wbf,5,347
Lezaj 1305 gpz,23,493
Lezaj 1305 TVH FAG,7,1860
Lezaj 1306 TVH FAG,17,2300
Lezaj 1306 K -,5,610
Lezaj 1306 KH gpz     ,12,881
Lezaj 1306 KH -      ,4,986
Lezaj 1307 TVH FAG,23,2670
Lezaj 1307 K -,3,739
Lezaj 1307 KTVH C3 FAG,11,2670
Lezaj 1308 TVH FAG,21,3250
Lezaj 1309 gpz        ,3,1189
Lezaj 1309 TVH FAG,10,4000
Lezaj 1310         ,1,939
Lezaj 1310 wbf        ,4,1366
Lezaj 1310 TVH FAG,6,4990
Lezaj 1310 KH      ,1,1814
Lezaj 1311 K gpz        ,1,1082
Lezaj 1311 gpz urb wbf        ,7,1579
Lezaj 1311 TVH FAG,2,5950
"Lezaj 1312 MGM,GPZ,NN",15,1854
Lezaj 1312 TVH FAG,3,7480
"Lezaj 1312 K ZKL,URB,GPZ ",11,1960
Lezaj 1312 KH       ,3,2070
"Lezaj 1313 GPZ,URB      ",22,2099
Lezaj 1313 TVH FAG,3,9350
Lezaj 1313 K gpz,4,2206
Lezaj 1315 K-     ,2,3044
Lezaj 1315 K   ,1,3044
Lezaj 1316 urb       ,7,3435
Lezaj 1316 +,2,3435
Lezaj 1316 K -,6,6978
Lezaj 1320 K       ,1,15860
Lezaj 1320 K -        ,1,15859
Lezaj 11205 TVH FAG,5,2700
Lezaj 11206 TVH FAG,10,3100
Lezaj 11207 TVH FAG,8,3900
Lezaj 2200         ,1,
Lezaj 2200 2RS TVH FAG     ,7,1550
Lezaj 2201         ,1,753
Lezaj 2201 TVH FAG,8,1500
Lezaj 2202 TVH FAG,8,1450
Lezaj 2202 2RS TVH FAG,11,1610
Lezaj 2203 TVH FAG,18,1500
Lezaj 2204 FAG,2,1520
Lezaj 2204 2RS TVH FAG,23,1850
Lezaj 2205         ,4,296
Lezaj 2205 TVH FAG,17,1730
Lezaj 2205 2RS TVH FAG,10,1960
Lezaj 2205 K mgm     ,1,328
Lezaj 2206 harp         ,3,730
Lezaj 2206 TVH FAG,16,1860
Lezaj 2206 2RS TVH FAG,12,2260
"Lezaj 2207 cx, gpz     ",3,398
Lezaj 2207 TVH FAG,14,2240
Lezaj 2207 2RS TVH FAG ,12,2710
Lezaj 2207 K mgm      ,2,750
Lezaj 2207 K TVH FAG,5,2240
Lezaj 2207 KH -      ,2,1042
Lezaj 2208         ,7,790
Lezaj 2208 -,3,
Lezaj 2208 TVH FAG,23,2550
Lezaj 2208 2RS       ,1,
Lezaj 2208 2RS TVH FAG,6,3220
Lezaj 2208 K + flt      ,3,633
Lezaj 2209 FLT,7,544
"Lezaj 2209 GPZ,IKL",10,790
Lezaj 2209 TVH FAG,14,2990
Lezaj 2209 K TVH C3 FAG,2,2990
Lezaj 2210         ,2,
Lezaj 2210 TVH FAG,15,3340
Lezaj 2210 2RS         ,1,
Lezaj 2210 2RS TVH FAG,4,4080
Lezaj 2210 K,1,
Lezaj 2211 FLT,5,1259
Lezaj 2211 TVH FAG,15,4080
Lezaj 2211 MGM,3,2120
Lezaj 2211 2RS,4,
Lezaj 2211 2RS TVH FAG,1,
Lezaj 2211 KTVH C3 FAG,4,4080
"Lezaj 2212 flt, mgm      ",26,1523
Lezaj 2212 TVH FAG,6,4980
Lezaj 2212 2RS TVH FAG ,1,6080
Lezaj 2212 K flt,8,1618
Lezaj 2213 -         ,1,1725
Lezaj 2213 TVH FAG,6,6120
Lezaj 2213-,2,2710
"Lezaj 2213 K MGM,ZKL",1,1809
Lezaj 2214 mgm,12,1774
"Lezaj 2216 GPZ,ZKL     ",13,4368
Lezaj 2216-        ,1,4368
Lezaj 2216 K zkl,1,4368
Lezaj 2217 gpz         ,4,5040
Lezaj 2218 K gpz,5,5600
Lezaj 2218  gpz,1,8400
Lezaj 2219 K zkl,1,8736
Lezaj 2220 K zkl      ,1,8010
Lezaj 2302 2RS TVH FAG,45,2550
Lezaj 2303 FAG,9,
Lezaj 2303 2RS TVH FAG,6,2530
Lezaj 2304 FAG,13,2100
"Lezaj 2305 urb,mgm,gpz",20,688
Lezaj 2305 TVH FAG,8,2610
"Lezaj 2305 K zps,ddr,wbf",9,670
Lezaj 2306 zkl        ,3,1480
Lezaj 2306 TVH FAG,8,3270
Lezaj 2306 + mgm,2,531
Lezaj 2307 flt         ,2,647
Lezaj 2307 mgm         ,4,944
Lezaj 2307 TVH FAG,10,3790
Lezaj 2307 2RS TVH FAG,5,4650
Lezaj 2308 nn       ,8,1232
Lezaj 2308 TVH FAG,7,4500
"Lezaj 2308 gpz,zkl",2,1848
Lezaj 2309 gpz        ,1,1900
Lezaj 2309 TVH FAG,1,5610
Lezaj 2310 gpz,5,1837
Lezaj 2310 TVH FAG,10,7480
